id;transcription;domain;intent;slots
490;Pon un disco calquera de Julio Iglesias;house commands;music;action, level, type
491;Quero escoitar algo de Camilo Sesto;house commands;music;action, level, type
492;Pon música de Radio Futura;house commands;music;action, level, type
493;Ponme a Nino Bravo;house commands;music;action, level, type
494;Quero escoitar 'Camino verde' de Los Panchos;house commands;music;action, level, type
495;Pon unha nana, pero baixiño;house commands;music;action, level, type
496;Pon unha lista de nanas;house commands;music;action, level, type
497;Pon cancións de Víctor Jara en aleatorio;house commands;music;action, level, type
498;Reproduce 'Sugar Man' de Rodríguez;house commands;music;action, level, type
499;Quero escoitar algunha copla;house commands;music;action, level, type
500;Pon algo de Manolo Escobar;house commands;music;action, level, type
501;Reproduce o meu audiolibro;house commands;audiobooks;action, title, author
502;Continúa lendo o libro co que estou agora;house commands;audiobooks;action, title, author
503;Para o audiolibro;house commands;audiobooks;action, title, author
504;Para un intre o audiolibro;house commands;audiobooks;action, title, author
505;Dálle para atrás ao audiolibro;house commands;audiobooks;action, title, author
506;Inicia o audiolibro desde o capítulo anterior;house commands;audiobooks;action, title, author
507;Comeza co audiolibro pero desde o capítulo anterior;house commands;audiobooks;action, title, author
508;Pon o audiolibro;house commands;audiobooks;action, title, author
509;Pon o audiolibro que comecei o outro día;house commands;audiobooks;action, title, author
510;Quero que leas o último libro de Domingo Villar;house commands;audiobooks;action, title, author
511;Reproduce o audiolibro 'O Último Barco' de Domingo Villar;house commands;audiobooks;action, title, author
512;Quero que reproduzas 'O Señor dos Aneis' en audiolibro;house commands;audiobooks;action, title, author
513;Reproduce o audiolibro de 'Que me queres amor?';house commands;audiobooks;action, title, author
514;Quero escoitar 'Ollos de Auga' de Domingo Villar en formato audiolibro, posmo?;house commands;audiobooks;action, title, author
515;Quero que poñas o audiolibro 'Cousas', de Castelao;house commands;audiobooks;action, title, author
516;Podes ler o primeiro capítulo de 'Follas Novas'?;house commands;audiobooks;action, title, author
517;Reproduce o último audiolibro de Berta Dávila;house commands;audiobooks;action, title, author
518;Quero escoitar o último audiolibro de Manuel Rivas;house commands;audiobooks;action, title, author
519;Pon o audiolibro 'Os Bolechas', de Pepe Carreiro;house commands;audiobooks;action, title, author
520;Ponlle aos meus netos o audiolibro 'Os Megatoxos', de Anxo Fariña;house commands;audiobooks;action, title, author
521;Quero que leas o audiolibro 'O crepúsculo e as formigas', de Méndez Ferrín;house commands;audiobooks;action, title, author
522;Pon o audiolibro da colección de poemas 'Cráter', de Olga Novo;house commands;audiobooks;action, title, author
523;Pódesme pór o audiolibro 'A Esmorga'?;house commands;audiobooks;action, title, author
524;Quero continuar co audiolibro 'Merlín e Familia';house commands;audiobooks;action, title, author
525;Continúa co último audiolibro de Juan Tallón, por favor;house commands;audiobooks;action, title, author
526;Quero que reproduzas un audiolibro de Emilia Pardo Bazán;house commands;audiobooks;action, title, author
527;Pon o último audiolibro do escritor Manel Loureiro;house commands;audiobooks;action, title, author
528;Quero que continúes con 'Resistencia', o audiolibro de Rosa Aneiros;house commands;audiobooks;action, title, author
529;Inicia a lectura de 'Vento Ferido';house commands;audiobooks;action, title, author
530;Podes ler desde o segundo capítulo o audiolibro 'Si o vello Sinbad volvese ás illa's?;house commands;audiobooks;action, title, author
531;Pon o audiolibro 'Os fillos do mar' de Pedro Feijoo;house commands;audiobooks;action, title, author
532;Le o que teñas de Manuel Rivas;house commands;audiobooks;action, title, author
533;Continúa co audiolibro 'Assur' de Francisco Narla;house commands;audiobooks;action, title, author
534;Reproduce o libro de Xacobe Pato;house commands;audiobooks;action, title, author
535;Continúa por onde o deixei co audiolibro 'Cans' de Carlos Meixide;house commands;audiobooks;action, title, author
536;Podes ler Infelices de Javier Peña?;house commands;audiobooks;action, title, author
537;Quero que leas 'O lapis do carpinteiro';house commands;audiobooks;action, title, author
538;Para un anaco a lectura;house commands;audiobooks;action, title, author
539;Continúa coa lectura;house commands;audiobooks;action, title, author
540;Retoma a lectura do audiolibro;house commands;audiobooks;action, title, author
541;Xa escoite dabondo, para un anaco o audiolibro;house commands;audiobooks;action, title, author
542;Para a lectura por hoxe;house commands;audiobooks;action, title, author
543;Podes continuar coa lectura pero desde un par de capítulos atrás?;house commands;audiobooks;action, title, author
544;Retoma a lectura do audiolibro que deixamos o outro día;house commands;audiobooks;action, title, author
545;Deixa de ler;house commands;audiobooks;action, title, author
546;Continúa lendo;house commands;audiobooks;action, title, author
547;Podes empezar a ler o audiolibro 'A praia dos afogados'?;house commands;audiobooks;action, title, author
548;Leme a 'Folla azul', de Andrea Maceiras;house commands;audiobooks;action, title, author
549;Os meus netos queren escoitar o audiolibro 'Chamádeme Sinbad', de Francisco Castro;house commands;audiobooks;action, title, author
550;Le un pouco de 'Cantares Gallegos';house commands;audiobooks;action, title, author
551;Le algún capítulo dun libro de Rosalía de Castro;house commands;audiobooks;action, title, author
552;Podes ler algún poema de Manuel María?;house commands;audiobooks;action, title, author
553;Leme 'Poemas a Compostela' de Manuel María;house commands;audiobooks;action, title, author
554;Continúa coa lectura de 'Os Biosbardos' de Eduardo Blanco Amor;house commands;audiobooks;action, title, author
555;Sigue coa lectura das 'Mulleres malas';house commands;audiobooks;action, title, author
556;Comeza coa lectura do libro 'Azucre';house commands;audiobooks;action, title, author
557;Cóntalle algún conto aos meu netos;house commands;audiobooks;action, title, author
558;Podes contarme un conto?;house commands;audiobooks;action, title, author
559;Cóntame algunha das túas fábulas;house commands;audiobooks;action, title, author
560;Cóntalle unha historia a Bea;house commands;audiobooks;action, title, author
561;Empeza no capítulo anterior;house commands;audiobooks;action, title, author
562;Le desde o anterior capítulo;house commands;audiobooks;action, title, author
563;Seguinte capítulo;house commands;audiobooks;action, title, author
564;Pasa de capítulo;house commands;audiobooks;action, title, author
565;Pasa ao seguinte capítulo;house commands;audiobooks;action, title, author
566;Reproduce este audiolibro desde o comezo;house commands;audiobooks;action, title, author
